date,calibration_mre,validation_mre,avg_risk_free_rate,implied_dividend_yield,kappa,lambda,sigma,rho,v0,n_calibrate,n_validate
2016-01-04,0.07197998528375019,0.06548091122824179,0.003037941089802131,0.013949410829073585,4.672515072324281,0.06918136209184603,0.5980166903729064,-0.5076240017122419,0.11868716545244966,180,45
2016-01-05,0.0741540386485681,0.07445427797948646,0.003298285253827559,0.015328387318085975,5.0,0.07278934077414363,0.4375262488330771,-0.6636689236251747,0.12765370503242462,176,45
2016-01-06,0.08426811735166279,0.07726737474530486,0.0032821630335517164,0.01527256338525567,5.0,0.07289509002321476,0.47885831360038383,-0.4414811254334406,0.14197885607676874,165,42
2016-01-07,0.0826401443649976,0.06861876905856787,0.0030286542942227525,0.016822062586803833,3.798019638100798,0.08597184800797478,0.8087451154926586,-0.49164056224312624,0.17385558597155498,184,46
2016-01-08,0.07677846064488522,0.08234001402850279,0.003014088258317026,0.017525657891010658,5.0,0.08494941036090776,0.6279049211432889,-0.46458809403963386,0.15105280992096004,179,45
2016-01-11,0.06253861454383017,0.0716265570376461,0.0033144821029248424,0.017579733955366023,3.4792356503401822,0.10491379729893244,1.0,-0.6186688961734278,0.14821381083613341,148,37
2016-01-12,0.07032523150076352,0.06010152864891909,0.0032480940304134725,0.0173371682939101,4.350638063950535,0.09961566277472182,1.0,-0.5313474054297346,0.12876472385733467,174,44
2016-01-13,0.08354626464138974,0.059778764840532794,0.0032646348788198105,0.01895449916918765,3.4216935268422084,0.10982272356782513,1.0,-0.5891397661299355,0.156790534834423,166,42
2016-01-14,0.061561136648382246,0.0557322788090013,0.00308396744560838,0.019683768724466245,2.4774098210282696,0.12071316453222866,1.0,-0.5516982138104235,0.12470396251586482,190,48
2016-01-15,0.07973316877644859,0.1096945796669118,0.0027046653208363377,0.023100602133871745,3.884910943438698,0.11258562873999813,1.0,-0.6993426881576376,0.18123682870690058,182,46
2016-01-19,0.07927752020976873,0.08722416917147609,0.002842356233163294,0.02302596607263045,3.7737476025700523,0.11251503270858529,1.0,-0.6851422401421472,0.17352878829042542,191,48
2016-01-20,0.09916724842656775,0.11692450929475408,0.0030700947661409152,0.021626381354369676,3.4999773321182306,0.1018408970559884,1.0,-0.7235376324413775,0.21085513652794402,200,51
2016-01-21,0.07149868655870405,0.08183510701826735,0.0031206113480246184,0.024695958127607786,1.1551965647558868,0.15994551888287392,1.0,-0.6311019628084286,0.15088170496297343,276,69
2016-01-22,0.06954500827111278,0.06366194976778085,0.003131942640629554,0.021247525781565985,1.1184292002228537,0.14453998930045944,1.0,-0.6454362453646062,0.14117495712602474,300,76
2016-01-25,0.08283301658079427,0.08948182529827693,0.0030998647281284143,0.0295631139999612,2.613629980229633,0.10182088673833191,1.0,-0.6822240426442969,0.1886569772841774,260,66
2016-01-26,0.07273155096884124,0.09677879070610518,0.0033996245890410954,0.027586944096585794,3.31996928226641,0.1064090093291495,1.0,-0.7668595352685521,0.17444489468814847,256,64
2016-01-27,0.02542138922680662,0.024725748310624306,0.0033718370995983104,0.02972197337956018,1.8761882198175621,0.12789225852084862,0.4717747996183032,-0.4468872354146057,0.09385261723573778,212,54
2016-01-28,0.023443360379044518,0.02676806582643464,0.003353166268213943,0.03024618978931623,2.5608012294953126,0.12571156865752886,0.520593445232638,-0.41062298953307463,0.08036190431718788,251,63
2016-01-29,0.027417543937599435,0.030774528091827406,0.0029559288201502433,0.029710695128563933,3.6735216092296614,0.10924105750439056,0.24794968786069704,-0.6659378658794842,0.05774840395864267,248,62
2016-02-01,0.022352951379865746,0.025983626219183195,0.002959809235367372,0.024293675084285905,2.484956434474114,0.11357233088492365,0.2720251067210466,-0.4464802715139372,0.06096072886554129,220,55
2016-02-02,0.02216034256713373,0.02502745615620051,0.003474872809697448,0.024489135500232573,2.454698546017745,0.11351692363180392,0.3143001436084825,-0.43892637261012146,0.07098724769347114,222,56
2016-02-03,0.022666424799030315,0.020905824441463848,0.0034489799524844568,0.026536649162879337,3.0920263247853694,0.110461746926436,0.18585870830480622,-0.6889971362204862,0.06506559098329089,216,55
2016-02-04,0.020871351333666653,0.02353730355336989,0.003065807361372489,0.008214657207943874,2.469321611922298,0.0979266073212957,0.2811109145547106,-0.5740551912642797,0.07268280755960158,250,63
2016-02-05,0.01798332528306069,0.013935099389838633,0.0031239519199826047,0.012022472954675227,2.8106344529991727,0.1032106569466415,0.37059603723102214,-0.617454178981962,0.09429373242199797,252,63
2016-02-08,0.0176521458900216,0.02002446402291923,0.002973562728310502,0.010826507162076782,2.145878345821368,0.12047122280450696,0.575839734564129,-0.5698874955734495,0.09555333189029858,230,58
2016-02-09,0.014698882383367858,0.016749051885481085,0.0033536213641353636,0.013329283311736396,3.4586250664455824,0.11153013190052082,0.5451842997314648,-0.6221687557582147,0.10079599017066854,229,58
2016-02-10,0.018848125513163894,0.017752541308397006,0.0033774295540658704,0.01029256523357171,3.7055139652146245,0.10503437352015813,0.5383140095005002,-0.5536226871690665,0.1009514362402869,225,57
2016-02-11,0.0246411333993127,0.024781826464622066,0.00317673431727795,0.010353323968771054,3.667336081104261,0.11078998604094908,0.6858643237209786,-0.4501885842060702,0.10271813635692467,248,62
2016-02-12,0.024666482539621858,0.027921982100104405,0.003206428430128233,0.01220045943767687,4.677201147528411,0.1062514854875052,0.2833462737687433,-0.7982082675063622,0.08760876886350474,250,63
2016-02-16,0.02314387846858457,0.02479221702254479,0.0030542900209623164,0.012371050279653972,4.2255087489881,0.11087717672258357,0.2725904667156974,-0.793828410947225,0.07579307061106887,224,57
