Regime,Avg MRE,Std MRE,Std(κ),Std(λ),Std(σ),Std(ρ),Std(v0)
Pre-Volmageddon,0.04389027481909754,0.01773574615281484,1.1092415348018871,0.02879403561376667,0.3105414731655545,0.1704752992081014,0.02689962984128804
Trade War,0.04461589328024057,0.020067978254780953,1.1019599399554665,0.023439842614091773,0.28456777573874126,0.15475368018714392,0.032255300274184044
COVID Crash,0.05326035002439068,0.018165170489011694,0.9949491356073669,0.02655973240948993,0.25579413216053354,0.2661209490129651,0.1606357104087738
Recovery,0.044460507893949494,0.019716133517292466,1.2274102187605735,0.03412846435283676,0.3804534201216646,0.24102247901850227,0.0835889866118962
Inflation,0.0368891416990915,0.010007289905636879,0.9680693748190443,0.030540351683049916,0.22369333071148256,0.1667549590717211,0.03679340360851478
